essay_id,nb_of_tokens,mean_char_p_words,diff_words,optimal_sentences,nb_of_spell_errors,spell_errors_p_token,flesch_score,cos_dist,style_errors,grammar_errors,grammar_errors_p_token,discourse_markers,discourse_markers_p_sentence,nb_first_person_pronouns,nb_first_person_pronouns_p_sentence,nb_demonstrative_pronouns,nb_demonstrative_pronouns_p_token
1.0,340.0,4.352941176470588,163.0,3.0,4.0,0.011764705882352941,73.71,0.6914661186847206,0.0,29.0,0.08529411764705883,23.0,1.4375,11.0,0.6875,0.0,0.0
2.0,399.0,4.518796992481203,192.0,5.0,6.0,0.015037593984962405,66.98,0.6717772880243935,0.0,39.0,0.09774436090225563,21.0,1.05,21.0,1.05,6.0,0.015037593984962405
3.0,271.0,4.5055350553505535,145.0,5.0,0.0,0.0,67.89,0.49790665801367073,0.0,25.0,0.09225092250922509,18.0,1.2857142857142858,7.0,0.5,3.0,0.01107011070110701
4.0,514.0,4.933852140077821,245.0,9.0,16.0,0.0311284046692607,60.24,0.7087637192517121,0.0,51.0,0.09922178988326848,35.0,1.2962962962962963,9.0,0.3333333333333333,3.0,0.005836575875486381
5.0,453.0,4.498896247240618,196.0,8.0,11.0,0.024282560706401765,72.56,0.6311202126510767,0.0,42.0,0.09271523178807947,27.0,0.9,11.0,0.36666666666666664,4.0,0.008830022075055188
6.0,237.0,4.181434599156118,126.0,2.0,6.0,0.02531645569620253,81.22,0.6400074029194749,0.0,30.0,0.12658227848101267,12.0,0.8,5.0,0.3333333333333333,5.0,0.02109704641350211
7.0,492.0,4.5060975609756095,214.0,13.0,5.0,0.01016260162601626,71.34,0.6123786956328796,1.0,32.0,0.06504065040650407,26.0,0.8666666666666667,5.0,0.16666666666666666,9.0,0.018292682926829267
8.0,481.0,4.457380457380458,198.0,7.0,0.0,0.0,75.61,0.5454444104365104,0.0,45.0,0.09355509355509356,21.0,0.5384615384615384,17.0,0.4358974358974359,5.0,0.010395010395010396
9.0,431.0,4.366589327146172,206.0,8.0,3.0,0.0069605568445475635,75.4,0.7030586630518727,0.0,46.0,0.10672853828306264,20.0,0.5714285714285714,10.0,0.2857142857142857,5.0,0.01160092807424594
10.0,502.0,4.111553784860558,206.0,6.0,2.0,0.00398406374501992,76.86,0.6233708459508295,1.0,45.0,0.08964143426294821,34.0,1.3076923076923077,5.0,0.19230769230769232,5.0,0.0099601593625498
11.0,321.0,4.928348909657321,197.0,8.0,5.0,0.01557632398753894,64.81,0.6262537708187302,0.0,26.0,0.08099688473520249,12.0,0.5454545454545454,4.0,0.18181818181818182,5.0,0.01557632398753894
12.0,386.0,4.520725388601036,150.0,7.0,20.0,0.05181347150259067,72.26,0.7079650120389089,0.0,67.0,0.17357512953367876,31.0,1.24,3.0,0.12,9.0,0.023316062176165803
13.0,194.0,4.056701030927835,118.0,2.0,7.0,0.03608247422680412,62.35,0.6833537427681521,0.0,33.0,0.17010309278350516,13.0,2.1666666666666665,5.0,0.8333333333333334,2.0,0.010309278350515464
14.0,304.0,4.220394736842105,123.0,8.0,7.0,0.023026315789473683,84.37,0.7017323789624025,0.0,63.0,0.20723684210526316,18.0,0.72,19.0,0.76,8.0,0.02631578947368421
15.0,172.0,4.587209302325581,92.0,4.0,2.0,0.011627906976744186,74.69,0.4854150214679779,0.0,20.0,0.11627906976744186,5.0,0.38461538461538464,1.0,0.07692307692307693,2.0,0.011627906976744186
16.0,522.0,4.906130268199234,245.0,10.0,16.0,0.03065134099616858,64.51,0.5100812101989964,0.0,53.0,0.10153256704980843,15.0,0.42857142857142855,1.0,0.02857142857142857,4.0,0.007662835249042145
17.0,331.0,4.3202416918429005,137.0,7.0,4.0,0.012084592145015106,69.21,0.6944406836102095,0.0,30.0,0.09063444108761329,20.0,1.1111111111111112,14.0,0.7777777777777778,5.0,0.015105740181268883
18.0,355.0,4.312676056338028,163.0,3.0,4.0,0.011267605633802818,71.58,0.6078704920585813,1.0,29.0,0.08169014084507042,26.0,1.7333333333333334,9.0,0.6,3.0,0.008450704225352112
19.0,64.0,4.515625,50.0,0.0,3.0,0.046875,87.31,0.8536357976278917,0.0,37.0,0.578125,1.0,0.14285714285714285,3.0,0.42857142857142855,0.0,0.0
20.0,149.0,4.543624161073826,93.0,3.0,3.0,0.020134228187919462,73.98,0.7012737586544104,0.0,15.0,0.10067114093959731,7.0,0.6363636363636364,6.0,0.5454545454545454,2.0,0.013422818791946308
21.0,361.0,4.534626038781163,180.0,9.0,6.0,0.01662049861495845,69.72,0.5553616381234179,0.0,36.0,0.0997229916897507,22.0,1.1,10.0,0.5,5.0,0.013850415512465374
22.0,55.0,4.6909090909090905,37.0,0.0,0.0,0.0,59.98,0.7001540199977317,0.0,3.0,0.05454545454545454,1.0,0.5,0.0,0.0,0.0,0.0
23.0,507.0,4.47534516765286,215.0,12.0,4.0,0.007889546351084813,70.53,0.5788240166168619,1.0,45.0,0.08875739644970414,24.0,0.8,21.0,0.7,17.0,0.03353057199211045
24.0,559.0,4.509838998211091,236.0,8.0,3.0,0.005366726296958855,73.68,0.5560708358741323,0.0,55.0,0.09838998211091235,28.0,0.717948717948718,17.0,0.4358974358974359,5.0,0.008944543828264758
25.0,285.0,4.6912280701754385,127.0,5.0,3.0,0.010526315789473684,69.72,0.6925770440839201,0.0,23.0,0.08070175438596491,18.0,1.125,5.0,0.3125,1.0,0.0035087719298245615
26.0,352.0,4.443181818181818,164.0,2.0,9.0,0.02556818181818182,72.46,0.6285786148310228,0.0,34.0,0.09659090909090909,22.0,1.0,15.0,0.6818181818181818,4.0,0.011363636363636364
27.0,117.0,4.3247863247863245,65.0,4.0,4.0,0.03418803418803419,79.5,0.8850694632280616,0.0,14.0,0.11965811965811966,14.0,2.0,0.0,0.0,0.0,0.0
28.0,357.0,4.579831932773109,182.0,7.0,2.0,0.0056022408963585435,75.71,0.715813815035952,0.0,43.0,0.12044817927170869,19.0,0.6785714285714286,5.0,0.17857142857142858,3.0,0.008403361344537815
29.0,364.0,4.43956043956044,154.0,8.0,3.0,0.008241758241758242,71.95,0.5843148526250241,0.0,37.0,0.10164835164835165,31.0,1.3478260869565217,2.0,0.08695652173913043,2.0,0.005494505494505495
30.0,250.0,4.52,118.0,6.0,2.0,0.008,70.84,0.6592711409884067,0.0,17.0,0.068,13.0,0.8666666666666667,5.0,0.3333333333333333,1.0,0.004
31.0,452.0,4.45353982300885,223.0,10.0,5.0,0.011061946902654867,72.66,0.7495830791247555,0.0,55.0,0.12168141592920353,36.0,1.0588235294117647,31.0,0.9117647058823529,7.0,0.015486725663716814
32.0,481.0,4.503118503118503,208.0,11.0,3.0,0.006237006237006237,74.39,0.564609280855672,0.0,47.0,0.09771309771309772,30.0,0.8333333333333334,24.0,0.6666666666666666,8.0,0.016632016632016633
33.0,157.0,4.56687898089172,97.0,3.0,3.0,0.01910828025477707,74.29,0.649376309615736,0.0,20.0,0.12738853503184713,11.0,0.9166666666666666,4.0,0.3333333333333333,1.0,0.006369426751592357
34.0,338.0,4.257396449704142,161.0,5.0,8.0,0.023668639053254437,90.29,0.7687787219961857,0.0,43.0,0.12721893491124261,26.0,1.0,7.0,0.2692307692307692,3.0,0.008875739644970414
35.0,402.0,4.447761194029851,161.0,0.0,0.0,0.0,75.61,0.5440126757664481,0.0,39.0,0.09701492537313433,18.0,0.5454545454545454,12.0,0.36363636363636365,4.0,0.009950248756218905
36.0,532.0,4.443609022556391,234.0,5.0,4.0,0.007518796992481203,65.46,0.6006237948986948,0.0,33.0,0.06203007518796992,28.0,1.1666666666666667,5.0,0.20833333333333334,7.0,0.013157894736842105
37.0,461.0,4.494577006507592,229.0,10.0,11.0,0.02386117136659436,80.82,0.6025722183119847,2.0,62.0,0.13449023861171366,33.0,1.064516129032258,31.0,1.0,7.0,0.015184381778741865
38.0,337.0,4.373887240356083,155.0,6.0,6.0,0.017804154302670624,67.38,0.6913581809146676,0.0,26.0,0.0771513353115727,29.0,1.7058823529411764,5.0,0.29411764705882354,5.0,0.01483679525222552
39.0,426.0,4.434272300469484,198.0,5.0,7.0,0.01643192488262911,66.88,0.6091376520974198,0.0,41.0,0.09624413145539906,31.0,1.4090909090909092,6.0,0.2727272727272727,4.0,0.009389671361502348
40.0,181.0,4.3812154696132595,106.0,4.0,2.0,0.011049723756906077,76.32,0.5662287377366809,0.0,28.0,0.15469613259668508,5.0,0.3333333333333333,15.0,1.0,2.0,0.011049723756906077
41.0,39.0,4.487179487179487,28.0,2.0,0.0,0.0,74.49,0.5574110375205413,0.0,5.0,0.1282051282051282,3.0,1.0,1.0,0.3333333333333333,0.0,0.0
42.0,280.0,4.203571428571428,128.0,2.0,4.0,0.014285714285714285,74.63,0.6092690518667758,0.0,36.0,0.12857142857142856,24.0,1.7142857142857142,5.0,0.35714285714285715,1.0,0.0035714285714285713
